France,English
installés,installed
têtue,stubborn
épatant,stinging
paranoïa,paranoia
plate-forme,platform
sadique,sadistic
super-héros,Super hero
dérangée,disturbed
brisés,broken
punaise,Thumbtack
harcèle,harassment
défis,challenge
clément,clement
contente-toi,happy
rhodes,Rhodes
semé,sown
décent,decent
normes,standards
kev,kev
paolo,paolo
respects,respects
vinaigre,vinegar
lames,blades
amigo,amigo
caresse,caress
speed,speed
agressive,agressive
intello,nerd
mêre,mother
remplissez,fill out
tempérament,temperament
excellentes,excellent
immortalité,immortality
steed,steed
pseudo,pseudo
spot,spot
dague,dagger
entraînée,trained
appelle-t-il,he calls
montrée,shown
agisse,act
briefing,briefing
ouste,ouste
étranglée,strangled
regardera,will look
bagage,luggage
morrison,morrison
tasses,cups
aide-nous,help us
deviendrait,would become
profondeurs,depths
tapez,tap
naturelles,natural
rdv,appointment
malheurs,misfortune
apprenait,learned
gilles,gilles
démocrate,democrat
picasso,picasso
représailles,reprisals
cosmos,cosmos
marjorie,marjoria
détruisez,Destroy
arrêts,stops
végétarien,vegetarian
sentimentale,sentimental
pancarte,sign
prenez-en,Take some
tordue,twisted
bloom,bloom
vieilli,aged
higgins,Higgins
dénommé,named
massacré,massacre
confrérie,brotherhood
sortiez,Out
rangez,put away
décorations,decorations
patriote,patriot
hyun,Hyun
calmé,calm
poire,Pear
actionnaires,shareholders
conduisais,led
posait,posed
strike,strike
informée,informed
bagarres,threads
jeeves,jeeves
hip,hip
perturbation,disturbance
tentent,try
souverain,sovereign
brève,brief
virez,spin
carver,carver
neufs,new
assoit,assist
rembrandt,rebellion
dora,Dora
couchez-vous,Go to bed
dc,dc
roc,rock
pleurent,cry
trouvaient,found
assistants,assistants
plomberie,plumbing
diplômée,graduate
espere,espere
escrocs,crook
excentrique,eccentric
frustration,frustration
saufs,bastard
lamentable,lamentable
ulds,ungles
could,could
reprenne,resume
porsche,porsche
ouvre-le,open it
bluff,bluff
priya,PRIA
rejoins-moi,meet me
tanaka,tanaka
attrapée,caught
réflexe,reflex
supprimé,deleted
6h,6 a.m.
viole,raw
sentirez,will feel
agrandir,enlarge
clochard,hobo
encouragé,encouraged
moran,moran
promettez,promise
démoli,demolished
notaire,notary
restaurer,restore
compartiment,compartment
courante,current
avancent,advance
délinquants,offenders
désespérés,desperate
mémo,memo
copier,to copy
congélateur,freezer
luna,luna
égypte,Egypt
courtes,short
contusions,bruises
imprudent,careless
merveilleuses,marvelous
abbott,abbott
entends-tu,Do you hear
bandeau,strip
station-service,gas station
hormis,apart from
voyaient,saw
probléme,problem
bêta,beta
estimation,estimate
oignon,onion
roulettes,casters
opérationnel,operational
plaisant,pleasant
épices,spices
tenez-le,hold it
remboursé,refunded
nourrice,nurse
organique,organic
brusquement,suddenly
pass,pass
jose,jose
pédophile,pedophile
étés,are
essentiellement,basically
semblaient,appeared
brebis,sheep
connectés,connected
drapeaux,flags
grouille-toi,hurry up
résumer,to sum up
athlètes,athletes
fourrière,pound
princeton,princeton
transplantation,transplantation
traînes,drafts
titan,Titan
équipements,equipment
intestins,intestines
horace,horace
exprimé,Express
che,che
titulaire,incumbent
death,Death
galant,gallant
veulent-ils,do they want
akira,Akira
prospérité,prosperity
grains,grains
rigueur,rigor
porto,port
officiels,officials
soigneusement,thoroughly
éric,Eric
wisconsin,Wisconsin
émeutes,riots
écrivais,wrote
jeremiah,Jeremiah
téléporter,teleport
nounours,teddy bear
perso,personal
menés,led
jouaient,were playing
plutot,rather
enfers,overtime
boulangerie,bakery
eues,eues
essuyer,wipe
bruns,brown
coince,stuck
résolue,resolved
inquiètent,worried
pâtisserie,pastry shop
interruption,interruption
sortirais,would go out
défensive,defensive
kitt,kitt
naît,arise
prairie,meadow
sabotage,sabotage
chaine,chain
exclusivité,exclusivity
impériale,imperial
accepterai,will accept
co,co
rayna,Rayna
constance,consistency
pues,puzzles
estelle,is she
tolérer,tolerate
beuh,beuh
rame,row
masses,masses
parcs,parks
steph,steph
doe,doe
vanité,vanity
agriculture,agriculture
infâme,infamous
tang,tang
instincts,instincts
ouvertement,openly
foyers,households
ongle,nail
théo,Theo
colombe,dove
aeryn,Aeryn
état-major,Staff
reich,Reich
hee,hee
particuliers,individuals
indéfiniment,indefinitely
brunch,brunch
dwayne,dwayne
ému,moved
mûr,Wall
spécialistes,specialists
tronc,trunk
mare,pond
barbares,barbaric
crapule,scoundrel
biche,doe
cain,Cain
mozart,mozart
séparées,separate
soupçonné,suspected
moule,mussel
digitales,digital
churchill,churchill
tennessee,Tennessee
immonde,filthy
malsain,unhealthy
léonard,leonard
signée,signed
humphrey,Humphrey
restauration,restoration
lisbon,Lisbon
consul,consul
toasts,toast
rétablissement,recovery
mariées,married
croiras,will grow
laissiez,leave
orlando,orlando
rabat-joie,spoiler
embarrassé,embarrassed
meneur,leader
loyale,loyal
bank,bank
fragment,fragment
assommer,knock out
hante,haunted
disney,Disney
bear,bear
providence,providence
guet,watch
manœuvre,maneuver
souffrant,suffering
alliances,alliances
tirant,drawing
islam,Islam
alvarez,Alvarez
ridiculiser,ridicule
blindé,armored
rassemblez,Gather
bass,bass
déni,denial
puissantes,powerful
souterrain,underground
perdrai,will lose
prodige,prodigy
rendons,let's go back
finirez,will end
églises,churches
caféine,caffeine
finies,finite
memphis,memphis
fournitures,stationery
rouillé,rust
eyes,Eyes
obéissez,obey
timbres,stamps
réa,re
souple,soft
sully,sully
gerber,stack
said,Said
récentes,recent
tee-shirt,T-shirt
diminue,decreases
inconvénient,inconvenience
battra,will be beaten
pornos,porn
freud,Freud
remporter,win
puanteur,stench
propositions,proposals
possédait,possessed
bave,drool
dorme,sleep
est-ce-pas,is this not
accompagnée,accompanied
changeons,let's change
souffrez,suffer
foreman,foreman
opium,opium
avait-elle,Has she had
parlez-nous,Talk to us
savannah,Savannah
océans,oceans
fisc,tax
apprenti,apprentice
hawk,hawk
hésitation,hesitation
liza,liza
sentira,will feel
yuki,yuki
parlerait,would speak
vexé,upset
cache-cache,hide and seek
avais-je,I had
coffrer,trigger
aspire,aspire
tournure,turn
séparent,separate
saloon,saloon
préparatifs,preparations
snow,snow
candidate,candidate
rendais,rendered
collant,sticky
décidée,decided
mina,mina
réunit,reunited
nœuds,nodes
fad,fad
dignes,worthy
sincérité,sincerity
supposition,assumption
dormirai,will sleep
sheppard,Sheppard
biopsie,biopsy
résident,resident
truqué,faked
ecartez-vous,step aside
corey,corey
livraisons,deliveries
précipité,precipitate
lyon,Lyon
fanfare,fanfare
intensité,intensity
dédié,dedicated
colombie,Colombia
fantastiques,fantastic
serrures,locks
battements,beating
démocrates,democrats
randonnée,Trek
entendrez,hear
nadine,nadine
drama,drama
écoutée,listened to
investigation,investigation
garden,Garden
représentait,represented
arroser,water
sous-estimé,underestimated
diplomate,Diplomat
terriens,burrows
hmmm,hmmm
défait,fact
manipulation,handling
recrutement,recruitment
ratés,failed
continuait,continued
associer,associate
laissées,left
embrassés,kissed
bords,edges
misérables,miserable
discutons,discuss
prétendez,claim
inquiétudes,concern
serge,serge
ronge,gnaw
aidiez,help
courbe,curve
vulnérables,vulnerable
résout,resistant
déguiser,to disguise
sordide,sordid
honoraires,fees
veillée,vigil
injonction,injunction
urgente,urgent
lasagnes,lasagna
jérôme,jerome
exposés,presentations
giovanni,Giovanni
pétition,petition
ennemies,enemies
célébration,celebration
détournement,hijacking
nomination,nomination
grimm,grimm
crocs,fang
ruche,hive
ananas,pineapple
alain,Alain
tourisme,tourism
20h,8 p.m.
orson,orson
mettez-les,put them
manie,mania
compétent,competent
souviens-tu,do you remember
wonder,Wonder
repérés,landmarks
w.,w.
keep,keep
forfait,package
mourez,die
donneras,will give
perturbée,disturbed
transmet,transmits
tao,tao
alabama,Alabama
grandissant,growing
first,first
cannelle,cinnamon
tricheur,cheater
alcooliques,alcoholics
challenge,challenge
improviser,improvise
applaudissez,applaud
écrivains,writers
bethany,bethany
paralysie,paralysis
hybride,hybrid
moss,moss
lars,lars
spring,spring
ampoules,bulbs
compliquées,complicated
arrow,arrow
rédiger,write
galactica,galactica
gomme,rubber
ferait-il,would he do
turquie,Turkey
assassinés,murdered
souche,stump
imite,mimic
sortirait,would come out
raven,raven
écarté,dismissed
chinatown,chinatown
proposes,proposals
diarrhée,diarrhea
tactiques,tactics
déserte,deserted
futures,future
décorer,decorate
divisé,Split
effrayés,frightened
anomalies,anomalies
penserait,would think
mets-les,put the
fréquenté,frequented
profites-en,take advantage of it
constater,to certify
disputent,argue
efficaces,effective
flotter,float
reilly,reilly
issues,outstands
radical,radical
inquiété,worry
comprise,understood
moches,ugly
automatiquement,automatically
inclure,include
réconcilier,reconcile
loisirs,Hobbies
salé,dirty
aideront,will help
causée,caused
soucies,concern
tirait,was shooting
cate,cate
épingle,pin
divorcés,divorced
coup-là,stroke
clopes,cigaret
etc,etc
traînait,dragged
scénarios,scenarios
débats,debates
hilary,hilary
adoptée,adopted
vint,came
portés,doors
t.j.,T.J.
penserais,would think
nobel,nobel
infinie,infinite
canaille,scoundrel
minnesota,Minnesota
serais-tu,would you be
défenseur,defender
set,set
donneront,will give
ethel,Ethel
boxer,boxer
joies,joys
huîtres,Oysters
cavernes,cave
médiocre,poor
bruxelles,Brussels
répliques,replicas
appropriée,appropriate
dicton,saying
eteins,summer
pesos,pesos
gâches,strokes
horriblement,horribly
viendriez,come
thaïlande,Thailand
artificiel,artificial
repensé,redesigned
changerai,will change
impliquant,implying
suspendre,to suspend
reproduction,reproduction
gale,scabies
hoffman,hoffman
souriant,smiling
rivières,rivers
garde-robe,wardrobe
ennuies,boring
gilmore,gilmore
joints,seals
partante,begging
buenos,Buenos
yakuza,yakuza
munich,Munich
inauguration,inauguration
réfrigérateur,fridge
aimés,beloved
vitale,vital
why,Why
perez,perez
dorée,gilded
applaudir,applaud
gifle,slap
redescendre,come back
bousiller,scrub
démence,dementia
bourre,flock
interviews,interviews
vermont,Vermont
utah,Utah
eliot,Eliot
promettez-moi,promise me
crazy,crazy
valu,valu
sensationnel,sensational
trompent,deceive
évoque,evoked
vocabulaire,vocabulary
affamée,hungry
âgés,elderly
magistrat,magistrate
syd,syd
bourgeois,bourgeois
ames,souls
présumé,presumed
proverbe,proverb
fumez,smoke
incision,incision
étions-nous,were we
rivage,shore
igor,igor
suivantes,next
riker,riker
tranchée,trench
contrainte,constraint
puant,stinking
referme,close
gomez,Gomez
reddington,Reddington
composer,compose
marient,marry
exemplaires,exemplary
daryl,Daryl
crayons,pencils
abîmer,damage
expulsion,expulsion
cheese,cheese
considérant,considering
paulo,Paulo
rubrique,section
scotland,scotland
descendent,descend
duper,dive
rodéo,rodeo
répand,spread
cathédrale,cathedral
dev,dev
prenaient,were taking
confronté,confronted
silhouette,silhouette
fang,fang
chatouille,tickle
intercepté,intercepted
intégré,integrated
agnès,Agnès
échanges,trades
hollis,Hollis
démontrer,demonstrate
désactiver,disable
foutues,damn
olympique,Olympic
seo,seo
apprenant,learner
crisse,crust
valve,valve
blonds,blonde
grossière,rude
travaillez-vous,Do you work
dégages,release
supposant,assuming
détend,relaxed
berkeley,Berkeley
adressé,address
dentifrice,toothpaste
capuche,hood
deviendrai,will become
couronnes,wreaths
vérifions,check
comparaître,appear
rédaction,writing
essayaient,were trying
interférer,interfere
anévrisme,aneurysm
hectares,hectares
chéris,darling
agite,agite
barton,bartender
kensi,kensi
conçue,designed
martyr,martyr
laurent,Laurent
mabel,my beauty
sushi,sushi
pêre,dad
appeller,call
aires,areas
branle,jerk
biologiques,biological
4h,4h
décence,decency
zen,Zen
implore,implore
walden,Walden
roupies,rupees
touchera,touch
dénonce,denounce
land,land
sourds,deaf
réceptionniste,receptionist
eileen,Eileen
demandiez,ask
meufs,girls
déco,decor
infanterie,infantry
concurrent,competitor
piqûres,bite
gratos,gratos
byron,Byron
flagrant,blatant
intègre,integrated
pêché,sin
parquet,parquet
tablier,apron
algorithme,algorithm
surveilles,monitoring
recueillir,collect
réchauffement,Warming
folies,follies
allergies,allergies
killer,killer
rappellent,recall
popularité,popularity
dîners,dinners
bide,flop
crevée,outstanding
reyes,reyes
hobby,hobby
étonnée,surprised
conservateur,conservative
renvoi,dismissal
rotation,spin
retomber,fall back
slade,slade
applaudit,applaud
crocodile,crocodile
divorcée,divorcee
persuadée,convinced
only,only
perdrais,would lose
défaillance,failure
plateforme,platform
dauphins,dolphins
tournevis,screwdriver
philly,philly
malhonnête,dishonest
gibier,game
stratégique,strategic
sanguins,bloody
analyste,analyst
rattrapé,caught up
habituels,usual
paillettes,glitter
spartacus,spartacus
mettes,puts
rayé,striped
éclipse,eclipse
rituels,rituals
hicks,hicks
protégerai,will protect
masser,massage
donjon,dungeon
arrêteront,will stop
sorts,spells
compétence,skill
emmène-le,take it
vaille,valiant
pourriture,rot
familiales,family
asseyons-nous,Let us sit
comédien,actor
brochure,brochure
lennox,lennox
géniales,brilliant
jean-pierre,Jean Pierre
hallucine,hallucin
ressemblant,resembling
fargo,fargo
écrouler,collapse
tai,tai
dobbs,Dobbs
insultant,insulting
clochette,bell
déçus,disappointed
récupération,recovery
dix-huit,eighteen
rencontrez,Meet
prévenez-moi,tell me
dansant,dancing
loyaux,loyal
suivront,will follow
danemark,Denmark
circule,circulate
vinci,vinci
traînent,drag
libertés,freedoms
lutté,struggle
margo,margo
agitée,agitated
hopkins,hopkins
eût,have
bagdad,baghdad
amenez-moi,bring me
annexe,Annex
repense,rethink
couche-toi,go to sleep
admet,admits
thea,Thea
polie,polite
blood,Blood
voyante,clairvoyant
norris,Norris
ny,ny
poignardée,stabbed
sauna,sauna
vessie,bladder
stabilité,stability
7e,7th
usé,worn
matelot,sailor
peser,weigh
remarquez,notice
voulait-il,he wanted
ingénieux,ingenious
inférieure,lower
tan,tan
africain,African
éventreur,ripper
répit,respite
finiront,will end
coyote,coyote
blaireau,badger
lucia,lucia
pie,sparkle
enfreindre,break
gonfle,swollen
transpire,transpire
zeke,zeke
frotte,scrub
labeur,work
injecté,injected
installez-vous,get comfortable
décomposition,decomposition
quantique,quantum
cache-toi,hide
buvant,drinking
arriverons,will arrive
avouez,admit
wanna,Wanna
suffisent,are enough
statues,statues
philosophe,philosopher
best,best
reprends-toi,get yourself together
head,head
irène,Irene
porcelaine,porcelain
vétéran,veteran
gonfler,inflate
ridge,rod
admets-le,admit it
leroy,leroy
astuce,trick
com,com
gardant,keeping
rétabli,reestablished
caractéristiques,features
celia,Celia
mustang,mustang
traditionnelle,traditional
conférences,conferences
internat,boarding school
vivras,vivras
habité,reside
cara,cara
massachusetts,Massachusetts
pulmonaire,pulmonary
chapman,chapman
virgil,virgil
inscrite,registered
avais-tu,Did you have
partirais,leave
denis,Denis
douane,customs 
jed,jed
vives,vivid
mangeais,eat
winter,winter
charleston,charleston
karev,karev
ressaisis-toi,pulled yourself together
boucherie,butcher's shop
bertie,Bertie
kidnappeur,kidnapper
déplacée,displaced
carly,carly
exterminer,exterminate
attrape-le,grab it
chemisier,blouse
vis-à-vis,vis à vis
clandestins,illegal
extrêmes,extreme
inverser,reverse
déterminée,determined
stupidité,stupidity
serrée,tight
réside,resides
empiré,empire
ambitions,ambitions
retourne-toi,turn around
en-dessous,below
eliza,Eliza
traqué,hunted
insignifiant,insignificant
strauss,Strauss
supers,super
appellerait,would call
mentionne,mentioned
unit,unit
regretté,late
correspondre,match
es-ce,es
america,America
coupées,cut
piaule,piaule
maintes,many
gouvernements,governments
secoue,shaken
fouilles,excavations
weston,Weston
colons,settlers
surveillée,monitoring
rejoindrai,will join
coutumes,customs
masculine,masculine
gouffre,abyss
notamment,notably
snob,snob
bombay,bombay
garde-à-vous,take care of yourself
ducky,ducky
évites,avoidance
plages,beaches
acquérir,to acquire
confrontation,confrontation
formalité,formality
protèges,protective
matrice,matrix
vendant,selling
deviendras,will become
slim,slim
émis,issued
originaux,original
irruption,irruption
meth,method
meyer,meyer
marchais,walked
meade,meade
manoeuvre,maneuver
passeront,will pass
gossip,gossip
corvée,chore
dépêchons,let's dispatch
talbot,talbot
intercepter,intercept
tonneau,barrel
argile,clay
définitive,permanent
exécutif,executive
impératrice,empress
compensation,compensation
satanée,satanous
bâbord,port
humiliée,humiliated
compatible,compatible
montés,mounted
missouri,Missouri
stargate,stargate
insolent,sassy
manteaux,coats
addiction,addiction
manucure,manicure
jobs,jobs
sitôt,so early
subconscient,subconscious
basses,bass
homosexuels,homosexuals
mao,mao
partiel,partiel
licorne,unicorn
permettrai,will allow
hilton,hilton
carrefour,crossroads
heights,heights
télescope,telescope
évolue,evolved
repasserai,will iron
hue,hue
remerciement,thanks
adorerait,would love
pharaon,Pharaoh
maxwell,Maxwell
dispositions,arrangements
par-derrière,from behind
iron,iron
mercy,Mercy
journalisme,journalism
larges,large
possèdent,have
méditation,meditation
étonnante,surprising
infirme,infirm
doutez,doubt
stiles,stiles
compatriotes,compatriots
sébastien,Sébastien
alerter,to alert
loupe,magnifying glass
grottes,cave
fleuriste,florist
excursion,excursion
albums,albums
découvrez,discover
reçoivent,receive
répandu,widespread
convaincus,convinced
bactéries,bacteria
criminalité,crime
balivernes,nonsense
chandelle,candle
ernest,Ernest
desmond,desmond
prétendent,claim
chars,tanks
roulette,roulette
baissée,lowered
etait-ce,Was it
crosse,stock
fuites,leaks
gmt,GMT
3d,3D
rappelée,recalled
decker,decet
yen,yen
danseuses,dancers
dodge,dodge
humilité,humility
jag,jag
escalader,climb
bouchons,caps
melvin,Melvin
atterrit,lathe
émouvant,moving
fitzgerald,Fitzgerald
soixante,sixty
contribué,contributed
cupcakes,cupcakes
ressuscité,resurrected
oserais,dare
noeuds,knots
pékin,Beijing
sportifs,athletes
dé,of
partirez,will leave
prédateurs,predators
plausible,plausible
perdras,will lose
grogne,discontent
spécimen,specimen
space,space
pres,close
espaces,spaces
misé,mockery
élégance,elegance
panda,panda
trompais,delayed
investissements,investment
parvenu,reached
chanel,chanel
frustré,frustrated
pupilles,pupil
démonter,to disassemble
turcs,Turkish
mettons-nous,let's put ourselves
oculaire,ocular
poulette,pullet
harlan,Harlan
étalage,display
webb,webb
gonzesses,gonzesses
peaux,skins
regardez-la,look at her
yvonne,yvonne
symptôme,symptom
domaines,areas
cartman,Cartman
couille,ball
skye,skye
décevant,disappointing
leela,leela
jugée,tried
couillon,cutter
essaiera,will try
demande-moi,ask me
again,again
hollande,Holland
lambert,lambert
sera-t-il,will he
plane,plane
molle,soft
effondrement,collapse
herb,herb
respectez,respect
dunn,dunn
détachement,detachment
signifier,mean
gratuites,free
lucide,lucid
richesses,riches
attachez,tie up
placez,place
partiras,will leave
orléans,Orleans
souciez,worry
minuscules,tiny
aubrey,Aubrey
utilisera,will use
crânien,cranial
frederick,Frederick
perdrez,will lose
vivantes,lively
calculer,calculate
saluez,greet
relance,RELAUNCH
délinquant,offender
grossir,get fat
ramirez,ramire
déterrer,dig up
mettez-la,put it
klingons,klingons
genres,genres
recommander,recommend
cultiver,cultivate
grecque,Greek
stewie,stewie
relâchez,release
ryder,ryder
demi-million,half-million
oppa,Oppa
méfie-toi,just watch out
stationnement,parking
honey,honey
open,open
portons,Let's wear
compliquer,complicate
bret,Bret
stein,Stein
métallique,metallic
sécuriser,to secure
apportent,bring
montre-nous,show us
migraines,migraines
missy,Missy
formidables,great
rêvent,dream
pascal,pascal
fus,fus
publicitaire,advertising
sketch,sketch
devrait-on,Should we
bouches,mouths
éliminée,eliminated
united,united
plantation,planting
sin,sine
ahmed,Ahmed
bûcher,py
jang,jang
dynastie,dynasty
remplacement,replacement
portugais,Portuguese
drap,sheet
ricardo,ricardo
mourrons,die
claqué,slammed
po,po
der,last
odeurs,odors
corrections,corrections
follement,madly
carolyn,Carolyn
actualité,news
prospère,prosperous
échappent,escape
serrez,tighten
senior,senior
assures,assumptions
remontent,go up
morning,morning
entrera,will enter
elias,Elias
d.c.,D.C.
rencards,date
parleras,will speak
chercheur,searcher
universités,universities
belgique,Belgium
régions,regions
poétique,poetic
mêlez,mix
discutera,will discuss
relève-toi,stand up
autriche,Austria
dégonflé,deflated
reconstruction,reconstruction
futée,smart
gâté,spoiled
déchirée,torn
cow-boys,cowboys
paieras,payroll
vogue,vogue
bourrés,drunk
bretagne,Brittany
diagnostiqué,diagnostic
macho,macho
capotes,condoms
j.d.,J.D.
pilotage,piloting
maquette,model
étudiantes,students
agressions,assault
montait,was riding
bloquez,block
croisement,crossing
irina,irina
hypothèque,mortgage
vestiaires,cloakrooms
chantais,sang
aidant,helping
maries,marials
confirmée,confirmed
fat,fat
taxe,tax
soulage,relieved
casques,helmets
lobe,lobe
bullock,bulco
brosser,brush
going,going
valse,waltz
gentilhomme,gentleman
isolée,isolated
culpabiliser,feel guilty
rouvrir,reopen
convertir,convert
douanes,customs
manier,handle
retournent,return
distribue,distributed
istanbul,Istanbul
gandhi,gandhi
remboursement,repayment
kenji,Kenji
grove,grove
québec,Quebec
problême,problem
saunders,Saunders
bips,beeps
digérer,digest
tre,be
gloussements,chuckle
rembourse,reimburse
circulez,circulate
rosemary,Rosemary
moustiques,mosquitoes
saga,saga
daddy,daddy
lux,lux
nombril,navel
achevé,finished
jerome,jerome
ravissant,delightful
cornichons,pickles
calories,calories
répondait,replied
cabot,pooch
financièrement,financially
excitante,exciting
élus,elected officials
favorable,favorable
fascinante,fascinating
laissez-passer,chase
fonctionnait,worked
facteurs,factors
dansait,was dancing
écrasée,crushed
trébuché,stumbling down
achètera,will buy
hubert,Hubert
improviste,improvisory
angus,Angus
jethro,jethro
moindres,lesser
compositeur,composer
adolescence,adolescence
brigitte,brigitte
précieuses,precious
entrainer,drive
oser,to dare
brièvement,briefly
fais-nous,do us
prends-les,take them
sofa,sofa
manipule,manipulation
kayla,kayla
leland,Leland
vulcain,Vulcan
charmants,charming
anatomie,anatomy
épouserai,march
dixième,tenth
gémit,groan
achille,Achille
brillent,shine
gratis,free
hanter,haunt
sceptique,skeptical
forcez,force
amènent,lead
changeait,changed
ac,AC
agiter,shake
rassemblés,gathered
lunaire,lunar
rivers,rivers
découpé,cut
master,Master
contiennent,contain
proviennent,come
donnerez,Give
raccrochez,hang up
troie,Trojan
identifiée,identified
jarvis,jarvis
rubis,ruby
surnaturel,supernatural
installations,facilities
brut,raw
manifester,manifest
faisait-il,he was doing
poursuivent,pursue
abominable,abominable
activation,activation
sors-moi,take me out
resterons,will stay
utiliserai,will use
rencontrées,met
becker,Becker
tranché,slice
perturbations,disruption
allie,ally
petra,petra
hold,hold
menaçait,threatened
cherry,cherry
kathryn,kathryn
confronter,to confront
désires,desires
doit-il,must he
ajoutez,add
intéresserait,would interest
stressant,stressful
samouraïs,samurai
hoover,hoover
inculpation,charge
appeliez,call
garderie,nursery
légume,vegetable
contredire,contradict
recevons,let's receive
étui,case
abdos,abs
entières,whole
comprendront,will understand
croisade,crusade
prouvent,prove
lil,lil
dictionnaire,dictionary
vendeuse,seller
cambriolé,burgled
observez,observe
institutrice,teacher
docks,docks
eagle,eagle
constant,constant
virilité,virility
cake,cake
méfiez-vous,Beware
renverse,reversed
niquer,fuck
débrouillerai,will manage
rite,rite
hydrogène,hydrogen
successeur,successor
sifflement,whistling
rédigé,written
litre,liter
comprends-tu,Do you understand
brûlez,burn
douteux,dubious
huitième,eighth
romaine,Roman
idéaux,ideal
souhaitez-vous,Do you want
repenser,rethink
ressusciter,resurrect
attrapent,catch
messie,Messiah
wars,wars
ovni,UFO
chœur,choir
olives,olives
hippies,hippies
commerciale,commercial
expansion,expansion
maintiens,keeping
chico,chico
balayer,sweep
contractions,contractions
collaborer,work out
larguée,dumped
traitait,treated
chercheurs,researchers
transactions,transactions
alma,Alma
soit-il,be it
alimenter,feed
culturel,cultural
menant,leading
troublant,disturbing
losers,losers
chaperon,chaperon
forum,forum
indigènes,native
brevet,patent
kathleen,Kathleen
cygne,swan
respectueux,respectful
soutiennent,support
foutais,fout
stabiliser,stabilize
détruisent,destroy
daily,Daily
kimmy,kimmy
épaisse,thick
métaux,metals
prénoms,first names
olympiques,Olympic
ecstasy,ecstasy
sénatrice,senator
rand,rand
entourent,surround
orgie,orgy
riggs,riggs
caser,cram
tensions,tensions
wild,Wild
clint,clint
tempe,temple
skate,skateboarding
clans,clans
derrick,derrick
money,money
couvercle,lid
channel,channel
grossi,gross
grissom,grissom
enjeux,challenges
jamaïque,Jamaica
everett,Everett
sondage,survey
promouvoir,promote
dires,saying
relativement,relatively
rayures,grooves
fields,fields
hip-hop,hip-hop
irving,Irving
races,races
infiltration,infiltration
russel,russel
lost,lost
sûres,safe
je-,I-
exquis,delicious
tirage,draw
fouine,foul
manquais,miss
barcelone,Barcelona
endort,sleeping
ministres,ministers
clim,air conditioning
fleming,fleming
hilda,hilda
rosen,Rosen
mâcher,to chew
remporte,win
always,Always
carrés,square
foutez-moi,fuck me
servis,served
ont-elles,do they have
saigné,bleeding
honore,honored
algues,algae
inoubliable,unforgettable
viktor,viktor
enchaîné,chained
tito,tito
rivaliser,compete
rice,rice
perdait,lost
ida,Ida
fiche-moi,plug me
ichi,ichi
émet,emits
décollé,offend
desole,sorry
piment,chilli pepper
dickie,dickie
netflix,Netflix
montons,let's go up
réfléchissais,was thinking
affronté,confused
sushis,sushi
tristan,Tristan
infliger,inflict
dirigée,directed
saboté,sabotage
brutus,brutus
impressionne,impressed
microbes,microbes
swat,SWAT
continu,continued
partagez,share
étonnamment,surprisingly
résistant,resistant
dimanches,Sundays
empêchent,prevent
implant,implant
granger,ganger
serrés,tight
posture,posture
préviens-moi,warn me
abattus,slaughter
pride,pride
identifie,identify
some,some
russo,Russo
bénéfique,beneficial
jets,jets
hobbs,hobbs
detective,detective
butters,Butters
u.s.,U.S.
bong,bong
décidément,definitely
bénévole,volunteer
arrivera-t-il,will he arrive
fasciste,fascist
simuler,simulate
elliott,elliott
slater,slater
sachet,bag
trahit,betrayal
naturels,natural
ecosse,Scotland
apple,Apple
bernadette,Bernadette
spirale,spiral
abattoir,slaughterhouse
disparaîtra,will disappear
rae,rae
menait,led
durent,last
cochonneries,junkiness
aboie,barks
cas-là,case
démarrez,start
arretez,stop
gaucher,left -handed
territoires,territories
essayez-vous,Trying
asiatiques,Asian
winnie,Winnie
powers,powers
vigueur,vigor
consolation,consolation
nypd,NYPD
coquine,naughty
traverses,crosspieces
osaka,dosaka
princes,princes
dex,dex
tueras,will kill
check,check
pleurais,cried
remettrai,will put back
rendes,rendes
gain,gain
christophe,Christophe
orthographe,spelling
hélicoptères,helicopter
mire,sight
prioritaire,priority
soutif,bras
viens-là,come here
tonight,tonight
sévèrement,severely
retombe,falls
vrille,spin
dunham,dunham
conduisent,lead
bbc,BBC
introduction,introduction
impardonnable,unforgivable
aimerais-tu,Would you like
gouverne,government
regardaient,looked at
gères,managers
fondations,foundations
récompensé,reward
exiger,require
dream,Dream
baldwin,baldwin
touchait,touched
mettront,will put
criminelles,criminal
sacrées,sacred
refrain,chorus
potentiellement,potentially
string,string
trame,frame
maturité,maturity
xavier,Xavier
retrouvailles,reunion
fixée,fixed
delhi,Delhi
littéraire,literary
anders,Anders
recréer,recreate
kono,kono
pépin,seed
éclairs,lightning
emerson,Emerson
bright,bright
positifs,positive
blocage,blocking
séparée,separate
capitole,Capitol
attendrais,would wait
artérielle,arterial
chung,chung
lillian,lillian
paragraphe,paragraph
traversent,cross
chiffon,cloth
aériennes,aerial
choeur,choir
pi,pi
tamara,tamara
déposez,DO
gagnait,won
baronne,baroness
trempe,quench
maternel,maternal
fire,Fire
distingué,distinct
instructeur,instructor
extorsion,extortion
détruites,destroyed
sylvester,Sylvester
fluides,fluid
imaginons,imagine
fouetter,whisk
routier,truck
uranium,uranium
gestapo,Gestapo
parés,adorned
abbé,abbe
kristen,kristen
seven,seven
randolph,randolph
éclaire,enlightened
london,London
rabb,rabb
lacets,laces
flora,flora
abed,abed
héritière,heiress
